...1,x,y,z,face,place,object,cluster,category
V3,-38.687,1.71,-37.968,2.8562466016565e-4,-8.3401518701955e-4,5.483905268539e-4,1,face
V20,-23.606,-7.2946,-34.608,0.00105830680653625,-0.00271437339100519,0.00165606658446894,2,object
V27,-23.622,-3.0694,-34.123,-3.73190229048e-4,-8.6795540482258e-4,0.00124114563387059,2,object
V31,36.801,-2.048,-31.898,1.3223027271251e-4,-9.276420971205e-4,7.9541182440799e-4,2,object
V34,-23.637,1.1558,-33.639,-1.1806246542049e-4,-0.00176899295388832,0.00188705541930882,2,object
V37,36.786,2.1777,-31.413,0.00125630028967669,-6.8927517867071e-4,-5.6702511100597e-4,1,face
V42,-27.428,5.3172,-33.294,7.3937813655722e-4,-4.4962111074201e-4,-2.897570258152e-4,1,face
V59,48.085,10.82,-30.028,0.00134062320688167,-3.2547163414834e-5,-0.00130807604346684,1,face
V96,32.969,-2.9213,-28.264,0.00101103556236522,-3.2728901719025e-4,-6.8374654517496e-4,1,face
V242,-46.43,-10.108,-24.123,-5.3896135886346e-4,8.0300137219347e-4,-2.6404001333e-4,1,face
V269,-61.627,14.989,-21.773,-5.6735559760009e-4,7.4984222327152e-4,-1.8248662567143e-4,1,face
V301,-61.702,36.115,-19.351,-7.7527310354451e-4,5.0368537397605e-4,2.7158772956846e-4,1,face
V330,28.901,46.1,-15.045,-2.4822891133414e-4,0.00114659955078864,-8.9837063945449e-4,3,place
V335,-50.419,48.983,-17.482,0.00131732826039561,-0.001153294654485,-1.6403360591061e-4,1,face
V336,-39.089,49.175,-17.064,0.0011333130166934,3.1287495751299e-4,-0.0014461879742064,1,face
V345,-50.434,53.208,-16.997,0.00146415999457124,-6.4212067195037e-4,-8.2203932262085e-4,1,face
V346,-46.657,53.272,-16.858,-1.1990796484273e-4,-0.00204862276824418,0.00216853073308692,2,object
V347,36.423,54.678,-13.798,-3.5664991326278e-4,8.4766563284046e-4,-4.9101571957767e-4,1,face
V348,40.2,54.742,-13.659,-7.0443405006249e-4,-7.4796718769163e-4,0.00145240123775414,2,object
V352,-50.449,57.434,-16.513,0.00151800531076578,-3.2522168193163e-4,-0.00119278362883415,1,face
