"x","y","z","subject"
-29.846,-20.955,-36.84,4
-26.022,-20.822,-36.793,4
-22.199,-20.688,-36.746,4
-37.976,-17.441,-37.016,4
-34.152,-17.307,-36.969,4
-26.504,-17.04,-36.876,4
-18.857,-16.773,-36.783,4
-15.033,-16.64,-36.736,4
-11.209,-16.506,-36.69,4
27.028,-15.171,-36.223,4
-42.282,-13.793,-37.146,4
-34.634,-13.526,-37.053,4
-26.987,-13.259,-36.959,4
-19.339,-12.992,-36.866,4
-15.515,-12.858,-36.82,4
-11.691,-12.725,-36.773,4
26.546,-11.39,-36.307,4
30.37,-11.256,-36.26,4
34.194,-11.123,-36.213,4
-42.764,-10.012,-37.229,4
-38.94,-9.8783,-37.183,4
-35.116,-9.7448,-37.136,4
-23.645,-9.3442,-36.996,4
-19.821,-9.2107,-36.949,4
-15.997,-9.0772,-36.903,4
26.064,-7.6084,-36.39,4
29.888,-7.4749,-36.343,4
33.712,-7.3414,-36.297,4
37.535,-7.2078,-36.25,4
-39.422,-6.097,-37.266,4
-35.598,-5.9635,-37.219,4
-31.775,-5.83,-37.173,4
25.582,-3.8271,-36.473,4
33.23,-3.5601,-36.38,4
37.053,-3.4266,-36.333,4
40.877,-3.293,-36.287,4
-47.552,-2.5828,-37.442,4
25.1,-0.045858,-36.556,4
32.747,0.22119,-36.463,4
36.571,0.35471,-36.416,4
40.395,0.48823,-36.37,4
44.219,0.62175,-36.323,4
-48.034,1.1985,-37.526,4
-44.21,1.332,-37.479,4
-40.386,1.4655,-37.432,4
-28.915,1.8661,-37.292,4
24.618,3.7354,-36.64,4
39.913,4.2695,-36.453,4
43.737,4.403,-36.406,4
47.56,4.5366,-36.36,4
-33.221,5.5139,-37.422,4
27.96,7.6502,-36.676,4
31.783,7.7837,-36.63,4
47.078,8.3178,-36.443,4
-21.169,-28.296,-32.535,4
-25.474,-24.648,-32.665,4
-21.651,-24.514,-32.618,4
-17.827,-24.381,-32.572,4
-37.428,-21.267,-32.888,4
-33.604,-21.134,-32.842,4
-29.78,-21,-32.795,4
-22.133,-20.733,-32.702,4
-18.309,-20.6,-32.655,4
-14.485,-20.466,-32.608,4
31.4,-18.864,-32.049,4
-41.734,-17.619,-33.018,4
-34.086,-17.352,-32.925,4
-30.262,-17.219,-32.878,4
-22.615,-16.952,-32.785,4
-18.791,-16.818,-32.738,4
-14.967,-16.685,-32.692,4
27.094,-15.216,-32.179,4
30.918,-15.082,-32.132,4
34.742,-14.949,-32.086,4
38.565,-14.815,-32.039,4
-46.04,-13.972,-33.148,4
-42.216,-13.838,-33.101,4
-15.449,-12.903,-32.775,4
30.436,-11.301,-32.215,4
34.26,-11.168,-32.169,4
41.907,-10.901,-32.076,4
-46.522,-10.19,-33.231,4
-38.874,-9.9233,-33.138,4
26.13,-7.6535,-32.345,4
41.425,-7.1194,-32.159,4
45.249,-6.9858,-32.112,4
-47.004,-6.4091,-33.314,4
-39.356,-6.1421,-33.221,4
-27.885,-5.7415,-33.081,4
25.648,-3.8722,-32.429,4
33.295,-3.6051,-32.335,4
37.119,-3.4716,-32.289,4
40.943,-3.3381,-32.242,4
44.767,-3.2046,-32.195,4
48.591,-3.071,-32.149,4
-51.31,-2.7613,-33.444,4
-47.486,-2.6278,-33.398,4
-43.662,-2.4943,-33.351,4
-28.367,-1.9602,-33.165,4
-20.719,-1.6932,-33.071,4
25.166,-0.090898,-32.512,4
32.813,0.17615,-32.419,4
36.637,0.30967,-32.372,4
48.108,0.71024,-32.232,4
-40.32,1.4205,-33.388,4
-36.497,1.554,-33.341,4
-25.025,1.9546,-33.201,4
28.507,3.8239,-32.548,4
39.979,4.2245,-32.409,4
43.803,4.358,-32.362,4
47.626,4.4915,-32.315,4
-44.626,5.0683,-33.518,4
-36.979,5.3353,-33.424,4
-29.331,5.6023,-33.331,4
-25.507,5.7359,-33.284,4
24.202,7.4717,-32.678,4
28.025,7.6052,-32.632,4
31.849,7.7387,-32.585,4
35.673,7.8722,-32.538,4
43.32,8.1393,-32.445,4
50.968,8.4063,-32.352,4
27.543,11.386,-32.715,4
35.191,11.654,-32.622,4
46.662,12.054,-32.482,4
30.885,15.301,-32.752,4
34.709,15.435,-32.705,4
-32.574,-28.741,-28.63,4
-28.75,-28.608,-28.584,4
-24.927,-28.474,-28.537,4
-33.056,-24.96,-28.714,4
-25.409,-24.693,-28.62,4
-21.585,-24.559,-28.574,4
-41.186,-21.446,-28.89,4
-37.362,-21.312,-28.844,4
-25.891,-20.912,-28.704,4
35.29,-18.775,-27.958,4
39.113,-18.642,-27.911,4
-45.492,-17.798,-29.02,4
-41.668,-17.664,-28.973,4
-34.02,-17.397,-28.88,4
27.16,-15.261,-28.134,4
30.984,-15.128,-28.088,4
34.808,-14.994,-28.041,4
38.631,-14.86,-27.994,4
42.455,-14.727,-27.948,4
46.279,-14.593,-27.901,4
-45.974,-14.017,-29.103,4
-42.15,-13.883,-29.057,4
-38.326,-13.75,-29.01,4
26.678,-11.48,-28.217,4
34.325,-11.213,-28.124,4
45.797,-10.812,-27.984,4
-46.456,-10.235,-29.187,4
22.372,-7.832,-28.347,4
33.843,-7.4315,-28.207,4
41.491,-7.1644,-28.114,4
21.89,-4.0507,-28.431,4
37.185,-3.5166,-28.244,4
44.833,-3.2496,-28.151,4
48.656,-3.1161,-28.104,4
52.48,-2.9826,-28.058,4
-51.244,-2.8064,-29.4,4
-47.42,-2.6729,-29.353,4
-28.301,-2.0053,-29.12,4
17.584,-0.40298,-28.56,4
36.703,0.26463,-28.327,4
40.527,0.39815,-28.281,4
44.35,0.53167,-28.234,4
48.174,0.6652,-28.187,4
-51.726,0.97489,-29.483,4
-47.902,1.1084,-29.436,4
-44.078,1.2419,-29.39,4
-28.783,1.776,-29.203,4
-21.136,2.0431,-29.11,4
17.102,3.3783,-28.644,4
28.573,3.7789,-28.504,4
51.516,4.58,-28.224,4
-52.208,4.7562,-29.566,4
-48.384,4.8897,-29.52,4
-40.737,5.1567,-29.426,4
-36.913,5.2903,-29.38,4
-33.089,5.4238,-29.333,4
16.62,7.1596,-28.727,4
24.267,7.4266,-28.634,4
28.091,7.5601,-28.587,4
43.386,8.0942,-28.401,4
47.21,8.2278,-28.354,4
51.034,8.3613,-28.307,4
-41.219,8.938,-29.51,4
-33.571,9.2051,-29.416,4
-25.924,9.4721,-29.323,4
-22.1,9.6056,-29.276,4
16.138,10.941,-28.81,4
23.785,11.208,-28.717,4
35.257,11.608,-28.577,4
39.08,11.742,-28.53,4
42.904,11.876,-28.484,4
46.728,12.009,-28.437,4
-45.525,12.586,-29.639,4
-41.701,12.719,-29.593,4
-37.877,12.853,-29.546,4
34.775,15.39,-28.66,4
38.598,15.523,-28.614,4
42.422,15.657,-28.567,4
46.246,15.79,-28.52,4
50.07,15.924,-28.474,4
26.645,18.904,-28.837,4
34.293,19.171,-28.744,4
38.116,19.305,-28.697,4
41.94,19.438,-28.65,4
22.339,22.552,-28.967,4
29.987,22.819,-28.873,4
21.857,26.333,-29.05,4
25.681,26.467,-29.003,4
33.328,26.734,-28.91,4
-36.332,-28.92,-24.632,4
-32.508,-28.786,-24.586,4
-28.684,-28.653,-24.539,4
-24.861,-28.519,-24.493,4
-36.814,-25.139,-24.716,4
-25.343,-24.738,-24.576,4
-44.944,-21.624,-24.892,4
-41.12,-21.491,-24.846,4
-37.296,-21.357,-24.799,4
-33.472,-21.224,-24.752,4
-25.825,-20.957,-24.659,4
43.003,-18.553,-23.82,4
-41.602,-17.709,-24.929,4
-37.778,-17.576,-24.882,4
-33.954,-17.442,-24.836,4
-22.483,-17.042,-24.696,4
-18.659,-16.908,-24.649,4
38.697,-14.906,-23.95,4
42.521,-14.772,-23.903,4
-45.908,-14.062,-25.059,4
-42.084,-13.928,-25.012,4
-19.141,-13.127,-24.732,4
38.215,-11.124,-24.033,4
49.686,-10.724,-23.893,4
-50.214,-10.414,-25.189,4
-46.39,-10.28,-25.142,4
-42.566,-10.147,-25.095,4
22.438,-7.8771,-24.303,4
26.262,-7.7435,-24.256,4
30.085,-7.61,-24.209,4
33.909,-7.4765,-24.163,4
37.733,-7.343,-24.116,4
45.381,-7.0759,-24.023,4
-50.696,-6.6327,-25.272,4
21.956,-4.0958,-24.386,4
41.075,-3.4282,-24.153,4
44.898,-3.2946,-24.106,4
-55.002,-2.985,-25.402,4
-51.178,-2.8514,-25.355,4
-28.235,-2.0503,-25.075,4
