voxel,face,place,object,x,y,z,subject,class,cluster
1006,-7.775781362145007e-5,1.0952664298323224e-4,-3.1768829361782164e-5,12.488,70.352,-11.882,8,place,2
1007,-1.444208882269835e-4,1.3124298620259352e-4,1.3177902024389999e-5,19.697,70.67,-12.207,8,place,2
1015,-9.48494869693847e-5,9.220946224968697e-5,2.6400247196977325e-6,-23.741,72.507,-10.097,8,place,2
1022,-1.2588840149459953e-4,1.0783595661330497e-4,1.805244488129457e-5,15.91,74.261,-11.887,8,place,2
1023,-1.1269443846474052e-4,7.779427409969914e-5,3.4900164365041395e-5,19.515,74.421,-12.05,8,place,2
1029,-5.405613950725408e-5,8.256468160071867e-5,-2.8508542093464595e-5,-16.714,76.576,-10.264,8,place,2
1035,-9.130962549625266e-5,8.80149630143711e-5,3.2946624818815527e-6,-31.315,79.688,-9.4564,8,place,2
1078,5.576159617960024e-7,-7.251480781438699e-5,7.195719185259097e-5,-47.963,-19.16,-8.7107,8,object,3
1089,-1.2284963437868456e-5,8.329622799562625e-5,-7.10112645577578e-5,49.18,-11.105,-12.947,8,place,2
1133,-1.5741350526644827e-4,-2.6847251371136946e-6,1.60098230403562e-4,-64.204,17.701,-6.4844,8,object,3
1145,-9.081232954631219e-5,-1.5596412662944974e-5,1.0640874220925715e-4,-57.359,25.521,-6.4943,8,object,3
1148,-3.935785011881462e-6,-5.485874213326608e-5,5.8794527145147533e-5,54.385,30.463,-11.54,8,object,3
1152,-5.641030146968565e-5,-1.0423116785442456e-4,1.606414693241102e-4,-57.541,29.27,-6.3369,8,object,3
1153,-1.0342787628558093e-5,5.501228274488331e-5,-4.466949511632521e-5,-14.286,31.184,-8.2896,8,place,2
1155,-1.6944755448053366e-5,-4.9722654438281584e-5,6.666740988633496e-5,50.598,34.053,-11.22,8,object,3
1172,-9.229811483309474e-6,-7.702507061601059e-5,8.625488209932005e-5,53.838,41.713,-11.067,8,object,3
1184,-9.975226825370162e-5,7.398058903498276e-5,2.5771679218718874e-5,-61.875,44.11,-5.5438,8,place,2
1188,-5.546496397412477e-5,7.047920750152365e-5,-1.5014243527398885e-5,10.218,47.299,-8.7987,8,place,2
1202,-1.2434587379166418e-4,1.1397787476200854e-4,1.036799902965565e-5,-26.193,53.204,-6.8559,8,place,2
1205,-1.6706263088216413e-4,5.1909990855732174e-5,1.1515264002643197e-4,31.482,55.756,-9.4602,8,place,2
1207,-4.903032833624805e-5,-5.1866209489514854e-5,1.008965378257629e-4,45.9,56.394,-10.112,8,object,3
1217,-1.3156548016278526e-4,1.4153321480507e-4,-9.967734642284747e-6,24.09,59.187,-8.977,8,place,2
1218,-1.1382705952027634e-4,-2.1988819266392208e-5,1.3581587878666856e-4,31.299,59.505,-9.3028,8,object,3
