"","x","y","z","face","place","object"
"V82",-46.522,-10.19,-33.231,0.00125613702956702,-0.000350500780085333,-0.00090563624948169
"V168",44.35,0.53167,-28.234,-0.000388338674481517,-0.000600717955169331,0.000989056629650848
"V314",-47.869,31.447,-26.011,-0.000116691136279721,-0.000348904605970378,0.000465595742250099
"V325",31.948,38.032,-25.115,0.00126986867444146,-0.000601188754047584,-0.000668679920393871
"V333",31.466,41.814,-25.198,0.000947041823176037,-0.00050893078057015,-0.000438111042605887
"V340",27.16,45.461,-25.328,0.000574594258011005,-0.000224143744989186,-0.000350450513021819
"V341",30.984,45.595,-25.282,-0.000325588359789082,-0.000752987063018355,0.00107857542280744
"V419",54.025,15.967,-20.338,-9.92516594571974e-05,-0.00116098012804049,0.00126023178749768
"V425",53.543,19.749,-20.421,-0.000110681141192628,-0.000873346918333298,0.000984028059525926
"V441",-40.638,35.45,-21.957,-0.000813829705452251,0.000515283744542846,0.000298545960909406
"V447",-44.944,39.098,-22.086,-0.000288987180995847,-0.000613370440014481,0.000902357621010327
"V448",-37.296,39.365,-21.993,0.00126427691703566,-0.000726854463506244,-0.000537422453529415
"V452",31.532,41.769,-21.154,0.000234505634032622,0.000531192865953468,-0.00076569849998609
"V457",-41.602,43.013,-22.123,0.000219623595165794,-0.000656202870688827,0.000436579275523033
"V460",31.05,45.55,-21.237,0.000773279517791668,-0.00262076718105187,0.0018474876632602
"V464",50.168,46.218,-21.004,0.00160009388271923,-0.000685594198237083,-0.000914499684482148
"V468",-42.084,46.794,-22.206,-0.000410141913734472,0.000817819290419509,-0.000407677376685037
"V469",-38.26,46.928,-22.16,0.000906199449914929,-0.000251414533440786,-0.000654784916474143
"V471",26.744,49.198,-21.367,0.000520302606929603,-0.000845641502037494,0.000325338895107891
"V472",34.391,49.465,-21.274,-0.000289765816301019,-0.000442555421852125,0.000732321238153144
"V509",-12.94,59.206,-22.083,-0.00116035062289301,-0.000138579574284945,0.00129893019717796
"V517",32.945,60.809,-21.523,-0.000624361571963105,0.00120387726610632,-0.000579515694143217
"V534",28.639,64.456,-21.653,-0.000462638872858372,-0.00167423771726383,0.0021368765901222
"V628",25.429,-0.27106,-16.333,-0.00120472176909759,-0.000520947477821605,0.00172566924691919
"V635",2.0045,2.7091,-16.696,-0.00127063699641593,-0.000375270566432777,0.00164590756284871
"V692",-44.878,39.053,-18.042,4.20169102092851e-05,-0.000718772783096812,0.000676755872887527
