...1,x,y,z,face,place,object,cluster,category
V95,-26.084,24.761,-24.815,0.00113810378139213,0.00159444996436092,-0.00273255374575305,1,face
V211,37.448,32.83,-15.974,0.00315811617338064,-6.0279964113191e-4,-0.00255531653224872,1,face
V233,-37.923,41.582,-19.516,3.6371710465412e-4,0.00105975973058319,-0.00142347683523732,1,face
V256,34.98,-11.821,-19.251,1.703837338197e-4,0.00191177895014065,-0.00208216268396035,1,face
V257,38.732,-11.714,-18.992,-2.6219693760131e-4,9.6687097348112e-4,-7.0467403587981e-4,1,face
V278,30.899,-1.0417,-17.904,-7.091448880365e-4,0.00104883647155658,-3.3969158352006e-4,2,place
V287,30.789,2.5866,-17.368,0.00113872925949685,-2.6113710688756e-4,-8.7759215260929e-4,1,face
V388,37.085,42.714,-10.972,5.5665692566016e-4,-0.00115828359387586,6.0162666821568e-4,3,object
V402,33.223,46.236,-10.694,-2.2384075223101e-4,-0.00127593301074871,0.00149977376297973,3,object
V423,33.003,53.493,-9.6242,3.3860225641104e-4,-0.0014532569544913,0.00111465469808026,3,object
V506,-44.834,17.594,-16.443,-0.00133690080092985,-1.9163030638824e-4,0.0015285311073181,3,object
V512,-44.944,21.223,-15.909,9.7793406831753e-4,-6.7962203430919e-4,-2.9831203400833e-4,1,face
V524,33.629,30.721,-9.4356,7.3178523210533e-4,-3.6826162940686e-4,-3.6352360269847e-4,1,face
V550,-30.485,39.792,-12.205,-0.00143463019837151,5.1398716073204e-4,9.2064303763946e-4,2,place
V551,-19.229,40.112,-11.433,-5.9483013448985e-4,-4.3353951648387e-4,0.00102836965097373,3,object
V556,40.804,41.819,-7.3169,-0.00143947565648513,0.00120249197519328,2.3698368129185e-4,2,place
V560,-26.843,43.527,-11.414,-9.8815012829057e-4,0.00187497455958947,-8.8682443129889e-4,2,place
V589,36.722,52.599,-5.9699,6.8919939275013e-4,-0.0020334088356867,0.00134420944293656,3,object
V617,-38.648,61.35,-9.5114,-0.00116780393381098,0.00210686972564807,-9.3906579183708e-4,2,place
V628,32.641,63.378,-4.6219,-0.00110180033483263,0.00249675793278879,-0.00139495759795616,2,place
V629,-38.758,64.979,-8.977,-0.00138055505868144,2.2165696721188e-4,0.00115889809146955,2,place
V641,32.531,67.006,-4.0878,0.00141998338850403,-0.00153250524845459,1.1252185995055e-4,1,face
V647,-38.977,72.236,-7.9075,-9.8987528417461e-4,-0.00132895898197027,0.00231883426614489,3,object
V675,38.666,-13.718,-12.197,8.5937008137902e-4,6.6490844719771e-4,-0.00152427852857673,1,face
V681,42.308,-9.9826,-11.405,3.97204181957126e-5,0.00103245921130739,-0.0010721796295031,1,face
V695,-33.062,-1.2304,-14.947,1.4068258515854e-4,4.095098835178e-4,-5.5019246867634e-4,1,face
V698,15.715,0.15642,-11.602,-4.0225296359786e-4,-0.00101323970826278,0.00141549267186064,3,object
V703,15.605,3.785,-11.067,-5.0385034551734e-4,4.5199612551649e-4,5.18542200008491e-5,2,place
V789,-30.737,46.047,-7.7382,0.00194578220212294,-1.7092797088494e-4,-0.001774854231238,1,face
V802,-30.847,49.676,-7.2028,0.00199798980121252,-4.4360175594071e-4,-0.0015543880452718,1,face
V803,-27.095,49.782,-6.9459,0.00203220112256076,-8.48400150558655e-5,-0.0019473611075049,1,face
V806,29.185,51.383,-3.0857,-8.7604241086058e-4,-0.00147776593866586,0.00235380834952645,3,object
V824,25.323,54.905,-2.8082,3.6491214867962e-4,-0.00207026363370217,0.00170535148502255,3,object
V825,36.58,55.226,-2.0361,0.00184572127755069,-5.6355639814706e-4,-0.00128216487940362,1,face
V857,25.104,62.162,-1.7387,0.00142737901109844,9.6772299681869e-4,-0.00239510200791714,1,face
V858,-42.543,63.87,-5.8356,4.324224446977e-4,-0.00402316698125386,0.00359074453655615,3,object
V869,21.242,65.684,-1.4616,-0.00108590767926895,-6.795161159194e-4,0.00176542379518836,3,object
V870,24.994,65.791,-1.2043,-5.1722439754567e-4,0.00133718418568061,-8.1995978813493e-4,2,place
V872,-46.405,67.392,-5.5584,-7.637770726754e-4,0.00109361056209557,-3.2983348942016e-4,2,place
V946,42.275,-10.984,-8.0071,-0.00114680716053598,-4.5966342563818e-4,0.00160647058617417,3,object
V997,56.295,22.1,-2.165,8.8856042750913e-4,-0.00276349556804502,0.00187493514053589,3,object
V1016,44.6,36.294,-0.79735,-9.4603608433518e-4,-9.7744400614227e-4,0.00192348009047747,3,object
V1019,-49.421,40.883,-6.1612,-7.9119217166578e-4,0.00122034444048613,-4.2915226882034e-4,2,place
V1032,29.262,46.753,-0.22244,-6.9387025380399e-4,0.00125624315093131,-5.6237289712732e-4,2,place
V1038,-30.88,48.675,-3.8054,-6.3449917263134e-4,8.8507102484206e-4,-2.5057185221072e-4,2,place
V1042,25.4,50.275,0.054724,-4.0678583715587e-4,-0.00164050729204579,0.00204729312920167,3,object
V1043,29.152,50.382,0.31166,7.8780431070244e-4,2.9231493174918e-4,-0.00108011924245162,1,face
V1057,21.538,53.797,0.33189,6.9004256443823e-4,1.8808668106026e-4,-8.781292454985e-4,1,face
V1058,25.29,53.904,0.58917,-7.438212686818e-4,0.00181251667076874,-0.00106869540208693,2,place
V1071,21.428,57.426,0.86634,0.0011191524964359,9.8542541901342e-4,-0.00210457791544932,1,face
V1118,21.099,68.311,2.4712,7.3486181538486e-4,0.00165668298816643,-0.00239154480355129,1,face
V1120,32.355,68.631,3.2433,-0.00199549197996878,8.782853731437e-4,0.00111720660682507,2,place
V1186,-28.278,-39.413,-13.241,-0.00100364149490812,-2.1416854705393e-4,0.00121781004196205,3,object
V1231,38.71,-19.35,-5.936,-6.1563002021727e-4,2.7086622587431e-4,3.4476379434295e-4,2,place
V1245,45.775,-4.622,-3.2823,-0.00106347826037738,5.2264491098085e-4,5.4083334939652e-4,2,place
V1250,49.417,-0.88662,-2.4901,6.6339268575361e-4,0.00115096028675034,-0.00181435297250395,1,face
V1314,-49.344,36.253,-3.2982,-5.2265983612731e-4,-4.2061596705926e-4,9.4327580318657e-4,3,object
V1318,-49.454,39.882,-2.7638,-8.9221038950053e-4,-9.772027649446e-4,0.00186941315444514,3,object
V1323,-49.564,43.511,-2.2284,5.807016930835e-4,-0.00176961107298214,0.00118890937989864,3,object
V1357,36.184,64.108,6.3632,-6.2647431339972e-4,9.0135710760006e-4,-2.7488279420033e-4,2,place
V1471,-28.311,-40.415,-9.8435,-0.00111124050812383,-0.00109958775394931,0.00221082826207314,3,object
V1511,34.595,-9.5723,-1.1909,8.4153733148855e-4,0.00189034435429086,-0.00273188168577941,1,face
V1517,41.88,-2.1018,0.39316,-8.9523292794851e-4,-0.00124952265045788,0.00214475557840639,3,object
V1518,45.632,-1.995,0.65049,-1.8263281909059e-4,-4.8350518358977e-4,6.6613800268037e-4,3,object
V1561,41.111,23.298,4.1363,-5.2475902626836e-4,-0.00170846168805569,0.00223322071432405,3,object
V1587,-0.6007,36.639,3.445,0.00176534625868962,-9.9387263409442e-4,-7.7147362459519e-4,1,face
V1592,-53.239,38.774,0.37761,-6.7850371862866e-4,-0.00108042251343208,0.00175892623206075,3,object
V1597,-57.101,42.295,0.65478,6.290952924172e-4,0.00109363110174153,-0.00172272639415874,1,face
V1599,-49.597,42.509,1.1699,-2.7080161741292e-4,-0.00148279600195867,0.00175359761937159,3,object
V1603,-49.707,46.137,1.704,8.2428121965765e-4,-3.4361371439658e-4,-4.8066750526107e-4,1,face
V1605,-49.816,49.766,2.2385,0.00124807107791841,-1.6522769657217e-4,-0.00108284338134624,1,face
V1612,2.6022,54.888,6.3758,0.00127752913507769,-4.9447355788214e-4,-7.8305557719555e-4,1,face
V1616,-57.54,56.81,2.7941,6.7584305076285e-4,4.1119022595879e-4,-0.00108703327672165,1,face
V1621,-27.524,57.664,4.8522,-9.0658621879453e-4,9.615955869433e-4,-5.50093681487681e-5,2,place
V1627,-57.65,60.438,3.3282,-0.00117302237632238,5.7396310818306e-4,5.9905926813931e-4,2,place
V1628,-50.146,60.652,3.8434,9.28530634444e-4,-0.00175949799518715,8.3096736074314e-4,3,object
V1629,-46.394,60.758,4.1003,4.4247222097409e-4,-0.00186345470773561,0.00142098248676152,3,object
V1648,36.041,66.735,10.296,-7.0100377600941e-4,2.8857187462177e-4,4.1243190138764e-4,2,place
V1708,-5.8904,87.332,10.675,-0.00117924600888263,7.7030187895874e-4,4.0894412992388e-4,2,place
V1861,44.281,40.547,10.466,-8.5240194106574e-4,0.00150366953684695,-6.512675957812e-4,2,place
V1874,-49.85,48.765,5.6369,-0.00138656781472815,0.00156979559232696,-1.8322777759881e-4,2,place
V1910,13.496,65.093,12.15,-4.3518415940066e-4,0.00258057919021974,-0.00214539503081907,1,face
V1921,13.386,68.722,12.685,5.5243502872533e-4,-8.5077699523082e-4,2.9834196650549e-4,3,object
V1975,-32.078,81.955,11.736,6.3167880654384e-4,4.71404049822095e-5,-6.7881921152605e-4,1,face
V2198,47.78,46.908,15.19,0.00120304925376884,-6.320072895444e-4,-5.7104196422444e-4,1,face
V2209,-16.224,52.352,11.886,8.23113234286944e-5,3.8654996823183e-4,-4.6886129166053e-4,1,face
V2216,-23.838,55.767,11.906,0.00146753007087205,-0.00111106419921363,-3.5646587165841e-4,1,face
V2246,13.463,64.091,15.548,0.00158089165153982,-6.1583735327262e-4,-9.6505429826719e-4,1,face
V2253,13.353,67.72,16.083,0.00153661057192364,-0.00104368307009413,-4.929275018295e-4,1,face
V2264,9.491,71.241,16.36,-0.00112719782323633,6.4825483240848e-4,4.7894299082784e-4,2,place
V2351,-5.6779,-50.037,0.82449,-7.0225327472705e-4,0.00137893107736207,-6.7667780263502e-4,2,place
V2371,35.375,-41.607,4.7251,-6.2902208667301e-4,-0.00104639911939706,0.00167542120607007,3,object
V2408,49.724,-19.408,8.9629,8.4014763582574e-4,-1.9918896604818e-4,-6.4095866977755e-4,1,face
V2550,-5.1109,55.298,16.59,0.00101468234591095,-9.4485691221755e-4,-6.9825433693394e-5,1,face
V2567,-27.843,61.916,16.116,4.5558577178031e-4,5.8785006570838e-4,-0.0010434358374887,1,face
V2571,9.6776,62.983,18.689,5.8854959935459e-4,-1.282880333192e-4,-4.6026156603539e-4,1,face
V2577,-27.953,65.544,16.65,8.1350875021003e-4,-4.9791630951745e-4,-3.1559244069257e-4,1,face
V2582,5.8157,66.504,18.966,7.6527629707985e-4,1.5239375057523e-4,-9.1767004765509e-4,1,face
V2591,5.7059,70.133,19.501,7.8167812497608e-4,0.00161220450930836,-0.00239388263428445,1,face
V2592,9.4579,70.24,19.758,8.9291586314866e-4,-0.00175580204722327,8.628861840746e-4,3,object
