voxel,x,y,z,face,place,object,cluster,category
V36,25.922,-5.9482,-35.008,1.5383304169489e-4,-4.5704870442719e-4,3.0321566273229e-4,1,object
V172,24.888,19.907,-30.04,5.4224768456538e-4,7.7231621581148e-4,-0.00131456390037687,2,face
V184,-27.118,-20.378,-25.308,5.9836480878485e-4,7.3605427493764e-4,-0.0013344190837225,2,face
V305,27.64,42.172,-25.391,9.9967226767542e-4,-4.2351338829412e-4,-5.7615887938129e-4,2,face
V313,27.458,45.922,-25.233,0.00107725155196275,-5.9866449067414e-4,-4.785870612886e-4,2,face
V314,31.063,46.081,-25.396,8.1202760273443e-4,-6.13477376516717e-5,-7.5067986508276e-4,2,face
V320,30.881,49.831,-25.238,8.6664008645315e-4,-2.8738362636964e-4,-5.792564600835e-4,2,face
V321,34.485,49.99,-25.402,5.7192734900991e-4,2.5729789621877e-4,-8.2922524522869e-4,2,face
V339,-37.873,-17.5,-20.797,7.9223376326355e-4,-3.8879412671472e-4,-4.0343963654883e-4,2,face
V358,-16.792,-5.2937,-21.3,0.00149509751462017,-4.8235787556594e-4,-0.00101273963905423,2,face
V402,-35.909,16.409,-19.54,-7.0153185462862e-4,0.00128705464586988,-5.8552279124124e-4,3,place
V465,-37.002,38.908,-18.596,6.380378654875e-4,-4.8813473965004e-4,-1.4990312583746e-4,2,face
V466,-33.397,39.067,-18.758,7.3607592770768e-4,-5.0406789570365e-4,-2.3200803200402e-4,2,face
V468,24.277,41.619,-21.363,-4.7894261606639e-4,1.0983852389209e-4,3.691040921743e-4,3,place
V469,27.882,41.778,-21.525,-7.2615347422533e-4,6.3482858635192e-4,9.13248878734042e-5,3,place
V480,-40.789,42.498,-18.275,-6.1406587698273e-4,6.480581819921e-4,-3.39923050093728e-5,3,place
V481,-37.184,42.658,-18.438,2.6518365205811e-4,-0.00170624728106637,0.00144106362900826,1,object
V482,-33.58,42.817,-18.601,-1.8862959758218e-4,-0.00116111875562133,0.00134974835320351,1,object
V484,24.095,45.368,-21.205,-4.7370175438102e-4,-9.1069695247452e-4,0.00138439870685555,1,object
V485,27.7,45.528,-21.367,0.0010826312883076,-3.7484374723477e-4,-7.0778754107282e-4,2,face
V494,-40.971,46.248,-18.118,-4.9648163808312e-4,2.7154930767644e-4,2.2493233040667e-4,3,place
V495,-37.367,46.407,-18.28,-4.3228977615893e-4,-7.040241910281e-4,0.00113631396718704,1,object
V496,-33.762,46.568,-18.443,-5.273975124295e-4,4.4864631790358e-4,7.87511945259168e-5,3,place
V498,27.517,49.278,-21.21,-3.3710366624448e-4,-6.3365641862221e-4,9.707600848667e-4,1,object
V508,30.94,53.187,-21.215,-1.4378422023751e-4,3.9996097521689e-4,-2.5617675497937e-4,3,place
V509,34.544,53.347,-21.378,-3.6683178437776e-4,-6.6838496136087e-4,0.00103521674573864,1,object
V514,34.362,57.096,-21.22,-2.1540511402689e-4,4.9705105983166e-4,-2.8164594580477e-4,3,place
V515,-45.123,57.339,-17.482,-2.4019656434713e-4,0.00103736839046267,-7.9717182611553e-4,3,place
V528,-48.446,-18.372,-16.442,-1.1964498477547e-4,-0.00123189595335116,0.00135154093812663,1,object
V570,44.546,0.77326,-20.043,-8.23184215341967e-5,8.0161120827827e-4,-7.1929278674407e-4,3,place
V620,32.274,30.294,-18.295,-0.00057545500338783005,-8.0829039553455e-4,0.0013837453989224,1,object
V628,28.488,33.885,-17.975,6.0582144137342e-4,-9.7518527875117e-4,3.6936383737775e-4,2,face
V653,-47.757,41.785,-14.084,-5.1269552033303e-4,9.4660870533392e-4,-4.3391318500088e-4,3,place
V654,-40.548,42.105,-14.409,3.7367274675166e-4,-0.00144362718872815,0.00106995444197649,1,object
V656,17.127,44.656,-17.014,3.6387797011431e-4,-2.04216637791e-4,-1.5966133232331e-4,2,face
V665,-29.916,46.333,-14.74,-2.5877490685797e-4,9.421049782026e-4,-6.8333007134462e-4,3,place
V666,34.968,49.203,-17.67,-3.1939829507576e-4,-0.00150605656599873,0.00182545486107449,1,object
V675,-37.307,49.764,-14.257,1.5467959899165e-4,-0.00190593778522118,0.00175125818622952,1,object
V689,12.976,55.746,-16.378,2.9262190463178e-4,-0.0013667452386049,0.00107412333397312,1,object
V699,-44.881,56.945,-13.616,8.7960458879202e-4,2.0223889427388e-4,-0.00108184348306592,2,face
V700,-41.277,57.104,-13.779,-1.2784248618549e-4,-6.5012993010798e-4,7.7797241629347e-4,1,object
V710,-45.063,60.694,-13.459,-2.0244307187716e-4,0.00146906532571506,-0.00126662225383789,3,place
V711,-41.459,60.854,-13.621,1.5057735105897e-4,-0.00140016358281408,0.00124958623175511,1,object
V722,16.216,63.405,-16.226,-5.3675954315213e-4,0.00108558885874642,-5.4882931559428e-4,3,place
V723,19.82,63.565,-16.389,4.7324500017742e-4,-0.00155533405636522,0.0010820890561878,1,object
V729,-41.641,64.604,-13.464,5.1698636379629e-4,-0.00160048088804006,0.00108349452424377,1,object
V730,-38.036,64.763,-13.627,-5.3626764305321e-4,0.00170882946469624,-0.00117256182164302,3,place
V742,16.034,67.155,-16.068,-4.6509222581826e-4,-7.4123455055699e-4,0.00120632677637525,1,object
V743,19.638,67.314,-16.23,8.7185751977313e-4,-0.00158194362542241,7.1008610564927e-4,1,object
V749,-23.8,69.151,-14.12,-4.8802176330365e-4,0.0015833742221613,-0.00109535245885764,3,place
V757,15.851,70.905,-15.911,-7.1058673519052e-4,9.5103891140754e-4,-2.4045217621702e-4,3,place
V769,-4.2196,-31.852,-15.16,9.45160047643554e-5,-0.00127037962104276,0.0011758636162784,1,object
V901,28.364,40.99,-13.793,7.5707726677309e-4,-0.00179341813590689,0.0010363408691338,1,object
V906,28.182,44.741,-13.636,5.505788821178e-4,7.2200499375323e-4,-0.00127258387587103,2,face
V915,35.209,48.809,-13.804,9.29998116256139e-5,-0.0010537907021666,9.6079089054098e-4,1,object
V916,38.814,48.969,-13.967,-2.1995997280447e-4,0.0014593831044712,-0.00123942313166672,3,place
V925,35.027,52.559,-13.647,-5.4802028610157e-4,-8.5488013159477e-4,0.00140290041769635,1,object
V926,38.632,52.718,-13.809,-9.46393963616124e-5,7.993095082053e-4,-7.0467011184369e-4,3,place
V928,49.446,53.197,-14.297,-1.8515774987679e-4,-0.0012992316709142,0.001484389420791,1,object
V934,-44.458,52.801,-9.9078,-7.2822437796534e-4,7.655396058018e-4,-3.73152278364602e-5,3,place
V938,31.24,56.15,-13.326,1.9513578850375e-4,-0.00185403635232615,0.00165890056382239,1,object
V939,34.845,56.309,-13.489,-1.2387744495711e-4,8.7999512729358e-4,-7.5611768233646e-4,3,place
V954,31.058,59.899,-13.169,5.0557820544141e-4,1.4538142830495e-4,-6.5095963374637e-4,2,face
V959,-44.822,60.3,-9.593,8.7562606517664e-4,-9.1174361864539e-4,3.61175534687502e-5,2,face
V960,-41.217,60.461,-9.7553,6.8639753883203e-4,8.93563480972038e-5,-7.7575388692923e-4,2,face
V961,-37.613,60.62,-9.9187,7.3911366637594e-4,-4.9182803120868e-4,-2.4728563516725e-4,2,face
V970,12.852,62.852,-12.197,9.9998745348823e-4,-5.304561608427e-4,-4.6953129264552e-4,2,face
V971,30.876,63.649,-13.011,5.5164387630097e-4,6.61809164830821e-5,-6.1782479278405e-4,2,face
V973,-41.4,64.21,-9.5979,6.6904500940482e-4,-3.5052554932288e-4,-3.1851946008194e-4,2,face
