"","x","y","z","face","place","object","cluster","category"
"V38",-22.943,9.0193,-29.771,7.4780400145663,-1.0225541103015,-6.4554859042648,1,"face"
"V70",23.202,-5.3864,-26.092,-7.27885832555,10.1550206633084,-2.8761623377583,2,"place"
"V103",36.626,7.0345,-23.723,-6.9118031346157,-26.3066516374083,33.218454772024,3,"object"
"V110",-51.454,17.136,-25.992,-13.6298494926254,19.3587287676249,-5.7288792749995,2,"place"
"V134",-43.283,-9.2292,-25.656,-9.6771833695848,2.1891274040116,7.4880559655731,2,"place"
"V153",43.991,-2.4182,-20.97,-10.9359732797665,8.5228811255224,2.413092154244,2,"place"
"V230",-25.666,62.252,-14.549,-9.3532084427608,6.3921386979383,2.9610697448225,2,"place"
"V243",-19.055,70.575,-13.063,5.3185254883503,2.8999914860269,-8.2185169743773,1,"face"
"V244",-15.548,70.51,-12.924,14.4836806396041,7.2527326098605,-21.7364132494647,1,"face"
"V262",19.321,74.08,-10.928,9.2806816242529,9.0526406101707,-18.3333222344237,1,"face"
"V263",-5.4296,78.768,-11.298,0.585219727284669,-16.6608901189912,16.0756703917066,3,"object"
"V268",-25.396,-18.88,-22.485,-13.6612114358346,24.6974422538479,-11.0362308180134,2,"place"
"V270",-43.133,-14.323,-22.576,20.5811031493992,-4.5139989719973,-16.0671041774019,1,"face"
"V277",-43.334,-10.095,-21.972,7.3374002521824,-13.6458075199462,6.3084072677637,3,"object"
"V286",-43.536,-5.8669,-21.368,11.5338596533298,-0.979491504159772,-10.5543681491701,1,"face"
"V298",-50.953,2.7208,-20.438,4.459359950105,-13.391762550386,8.9324026002809,3,"object"
"V385",-28.62,48.767,-12.818,-9.6364364890165,20.6288735743533,-10.9924370853368,2,"place"
"V396",-28.822,52.996,-12.213,10.4775673437894,2.5848630286553,-13.0624303724448,1,"face"
"V397",-25.315,52.93,-12.074,22.4701458707282,-11.8045506803556,-10.6655951903726,1,"face"
"V400",27.291,51.942,-9.9882,10.7408479462984,-6.6722415708435,-4.0686063754548,1,"face"
"V402",37.813,51.744,-9.5706,13.1106521740805,-9.0801579589711,-4.0304942151093,1,"face"
"V403",41.32,51.679,-9.4316,17.8907288462245,-16.5112649225365,-1.3794639236879,1,"face"
"V411",-29.023,57.223,-11.61,-12.5157149989701,-15.6839925784246,28.1997075773947,3,"object"
"V412",-25.516,57.157,-11.47,9.006640790316,-18.8564342584691,9.8497934681529,3,"object"
"V413",20.076,56.303,-9.6622,1.9636207781374,-12.3662908316194,10.402670053482,3,"object"
"V414",23.583,56.236,-9.5226,-14.9150121849684,-8.3330206762604,23.2480328612289,3,"object"
"V422",-25.718,61.386,-10.866,5.8291033162612,7.0003478241465,-12.8294511404078,1,"face"
"V424",23.381,60.464,-8.9189,12.6736028196904,-16.1846932013902,3.5110903816998,3,"object"
"V434",-25.919,65.613,-10.262,15.8576899592671,-6.6229019515405,-9.2347880077265,1,"face"
"V4501",-26.121,69.841,-9.6573,-7.5061796221969,-9.0846030683445,16.5907826905414,3,"object"
"V465",-26.322,74.07,-9.0536,-8.8281999185912,-11.1042240230387,19.93242394163,3,"object"
"V468",-8.7869,73.74,-8.3575,-11.9697991193288,-6.2719008051191,18.2416999244479,3,"object"
"V551",35.866,17.121,-10.86,7.1208690757063,3.7125860113888,-10.8334550870951,1,"face"
"V580",-38.79,39.644,-10.76,-1.1988961236369,14.7360246587156,-13.5371285350786,2,"place"
"V591",-24.963,43.608,-9.599,4.2921079492448,-13.3968254983043,9.1047175490594,3,"object"
"V615",-57.333,61.113,-8.4349,10.8499633285545,-0.169867888349449,-10.680095440205,1,"face"
"V619",-32.783,60.652,-7.4608,0.153427724344224,-12.1623464173464,12.0089186930022,3,"object"
"V620",-25.769,60.52,-7.1832,-0.77818850904703,-18.1250907971305,18.9032793061775,3,"object"
"V630",-25.971,64.748,-6.5786,15.361682131526,-4.334519433775,-11.0271626977509,1,"face"
"V643",-29.679,69.042,-6.113,11.7569884466917,3.8672661926417,-15.6242546393334,1,"face"
"V644",-26.172,68.976,-5.9743,-2.209892143077,-8.3291426771942,10.5390348202713,3,"object"
"V648",-8.6371,68.647,-5.2788,12.0401104577853,-3.464308824788,-8.5758016329972,1,"face"
"V649",-5.13,68.581,-5.1398,6.2796928518084,9.7526129429238,-16.0323057947323,1,"face"
"V662",-29.881,73.27,-5.5097,-8.8647379542093,-5.5685865760834,14.4333245302927,3,"object"
"V665",-5.3315,72.809,-4.5356,1.0504339963032,-12.0043428407465,10.9539088444433,3,"object"
"V666",-1.8244,72.743,-4.3966,5.8037102078481,3.314878181272,-9.1185883891201,1,"face"
"V670",22.725,72.282,-3.4225,-7.3959595914061,-16.4510496390605,23.8470092304666,3,"object"
"V683",22.524,76.511,-2.8188,-9.1134628851506,-5.8035895883309,14.9170524734816,3,"object"
"V817",26.986,54.439,-2.0177,-9.0225683231139,-5.2832466077611,14.3058149308751,3,"object"
